,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0011086463928222656,0.000491903719395017,0.009959220886230469,0.0013152110102068652,3,1,"{'n_neighbors': 3, 'p': 1}",0.8610039080799482,0.8232083227956082,0.8475375091153347,0.8067962477609698,0.7989663723931123,0.8275024720289947,0.02360188700944265,5
1,0.0006087779998779297,0.0004976975954921034,0.0022970199584960937,0.0006543247088596602,3,2,"{'n_neighbors': 3, 'p': 2}",0.8034297884613899,0.7921011750083943,0.8203074548904602,0.7286898031392606,0.7560252348489954,0.7801106912697,0.033249206747901425,10
2,0.00040755271911621096,0.0004992848832103159,0.00891127586364746,0.0015701450718068305,5,1,"{'n_neighbors': 5, 'p': 1}",0.8756113934752018,0.8243845064127073,0.8427099658523206,0.8068763662985974,0.8119459475717021,0.8323056359221059,0.02493009295834898,2
3,0.0009150505065917969,0.000679593145779985,0.0028702259063720704,0.0006220618362781246,5,2,"{'n_neighbors': 5, 'p': 2}",0.8386426905089439,0.8046006289171526,0.8300073035182269,0.7521688181526315,0.7774311956454925,0.8005701273484895,0.032281292544069404,9
4,0.0002533912658691406,0.0004386623363362627,0.00790233612060547,0.0004984574394837521,7,1,"{'n_neighbors': 7, 'p': 1}",0.8777426596797709,0.8263745024008167,0.8442461897962663,0.8098852832273105,0.8139140723119521,0.8344325414832234,0.024740984177188664,1
5,0.0006008625030517578,0.0004906035774467926,0.002439594268798828,0.0003455909863397888,7,2,"{'n_neighbors': 7, 'p': 2}",0.8475575739400772,0.8047425471721945,0.8295962919959021,0.7662190155377296,0.7910956128514762,0.807842208299476,0.028541538008040854,7
6,0.000701904296875,0.0006016893493489541,0.009640836715698242,0.0019073272858855634,9,1,"{'n_neighbors': 9, 'p': 1}",0.8723508263951796,0.8262023291349756,0.8436627255211484,0.8088801590728926,0.8063294793254703,0.8314851038899332,0.02445403210511559,3
7,0.0010002613067626952,0.0008903406017215261,0.0029534816741943358,0.000804789665943702,9,2,"{'n_neighbors': 9, 'p': 2}",0.8522429065295287,0.8010912874766986,0.8278988204201294,0.7694799572928985,0.7926142855660865,0.8086654514570684,0.02870340715529458,6
8,0.00047016143798828125,0.0004553011632141161,0.01013951301574707,0.0009037351063702738,11,1,"{'n_neighbors': 11, 'p': 1}",0.8730458485761714,0.8224067831022844,0.8381165246691231,0.8069220728413278,0.8035946065887196,0.8288171671555252,0.025295533402790876,4
9,0.0004031658172607422,0.0004937859097416922,0.003402042388916016,0.0005199565268278417,11,2,"{'n_neighbors': 11, 'p': 2}",0.8478415838789921,0.7960982350892107,0.8269578528180139,0.7677083936558137,0.786872565048923,0.8050957260981907,0.028691504012063048,8
