Epochs,Optimizer,Activation_Function,Train_Loss,Train_Accuracy,Train_Precision,Train_Recall,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall
3,RMSprop,softsign,0.1302199512720108,0.9623809456825256,0.25591182708740234,0.9988889098167419,0.029712360352277756,0.9918518662452698,0.28760120272636414,1.0
1,RMSprop,relu,1.3721225261688232,0.5361904501914978,0.19288063049316406,0.8888888955116272,0.4849123954772949,0.8146296143531799,0.24183358252048492,0.9994444251060486
6,RMSprop,sigmoid,0.08587533235549927,0.9763492345809937,0.2691674828529358,0.9994444251060486,0.39534488320350647,0.9049999713897705,0.3234494924545288,0.9918518662452698
9,RMSprop,selu,0.047955408692359924,0.989126980304718,0.280373215675354,0.9992856979370117,0.1209360882639885,0.9672222137451172,0.3089379668235779,0.9998148083686829
6,RMSprop,softsign,0.05761575698852539,0.9842063784599304,0.274932324886322,0.9994444251060486,0.01512698270380497,0.9983333349227905,0.37349480390548706,0.9994444251060486
1,RMSprop,elu,1.4449936151504517,0.5180158615112305,0.18806041777133942,0.8755555748939514,1.2729209661483765,0.5737037062644958,0.24399469792842865,0.9198148250579834
8,RMSprop,softsign,0.04261687397956848,0.9893651008605957,0.28233709931373596,0.9990476369857788,0.02280076965689659,0.9948148131370544,0.4081355035305023,0.9996296167373657
9,RMSprop,softmax,0.06241762638092041,0.9821428656578064,0.2534060478210449,0.9993650913238525,0.24430322647094727,0.948888897895813,0.29162392020225525,1.0
1,RMSprop,selu,1.3373016119003296,0.5623809695243835,0.19050145149230957,0.8837301731109619,0.7580762505531311,0.7253703474998474,0.24049608409404755,0.9911110997200012
3,RMSprop,tanh,0.14390476047992706,0.9596031904220581,0.25101304054260254,0.9980158805847168,0.022266648709774017,0.9948148131370544,0.2966870069503784,1.0
4,RMSprop,sigmoid,0.13661134243011475,0.960873007774353,0.2553834915161133,0.9986507892608643,0.43343180418014526,0.8703703880310059,0.30681365728378296,0.9998148083686829
5,RMSprop,softsign,0.07656312733888626,0.9797618985176086,0.27012479305267334,0.9997618794441223,0.2064729630947113,0.9401851892471313,0.3567649722099304,0.9990741014480591
2,RMSprop,sigmoid,0.46285632252693176,0.8465079069137573,0.23866429924964905,0.9938095211982727,1.09730863571167,0.7137036919593811,0.23232592642307281,0.9694444537162781
4,RMSprop,softmax,0.26764580607414246,0.9184126853942871,0.2309558391571045,0.9973809719085693,6.991604328155518,0.23092593252658844,0.14878208935260773,0.3766666650772095
3,RMSprop,selu,0.12874619662761688,0.9627777934074402,0.24979156255722046,0.9986507892608643,0.0791262537240982,0.9787036776542664,0.31195470690727234,0.9998148083686829
9,RMSprop,softsign,0.04582768678665161,0.9900793433189392,0.28627949953079224,0.9992063641548157,0.08221308141946793,0.9811111092567444,0.3783821761608124,0.9996296167373657
3,RMSprop,elu,0.12002620846033096,0.9653968214988708,0.25403714179992676,0.9988095164299011,0.04727402701973915,0.984074056148529,0.3336217701435089,0.9996296167373657
8,RMSprop,selu,0.05305492505431175,0.9873809814453125,0.27696165442466736,0.9995238184928894,0.011829911731183529,0.9983333349227905,0.40999165177345276,1.0
3,RMSprop,softmax,0.6767153143882751,0.7742857336997986,0.2164776623249054,0.9892857074737549,6.268032550811768,0.1474074125289917,0.1293295919895172,0.33259260654449463
6,RMSprop,softmax,0.10394209623336792,0.9711904525756836,0.24158522486686707,0.9985714554786682,3.949751138687134,0.2809259295463562,0.11767935752868652,0.7144444584846497
5,RMSprop,sigmoid,0.11474190652370453,0.9676190614700317,0.26390257477760315,0.9992063641548157,0.004264217801392078,0.9985185265541077,0.35174569487571716,1.0
4,RMSprop,elu,0.0929487943649292,0.974841296672821,0.2575339078903198,0.9990476369857788,0.49082478880882263,0.8561111092567444,0.28013283014297485,0.9998148083686829
8,RMSprop,softmax,0.083262600004673,0.9788888692855835,0.2494547814130783,0.9985714554786682,0.06902702897787094,0.9855555295944214,0.30499857664108276,1.0
2,RMSprop,tanh,0.23187988996505737,0.9300000071525574,0.2474386990070343,0.9986507892608643,0.47139260172843933,0.8709259033203125,0.2788809537887573,0.9987037181854248
10,RMSprop,tanh,0.04875994101166725,0.9885714054107666,0.27805620431900024,0.9995238184928894,0.012082554399967194,0.9987037181854248,0.38115420937538147,0.9992592334747314
10,RMSprop,softsign,0.038973838090896606,0.9899206161499023,0.2886938154697418,0.9996825456619263,0.07311666756868362,0.9820370078086853,0.3460354208946228,0.9988889098167419
6,RMSprop,selu,0.06330102682113647,0.9829365015029907,0.26826098561286926,0.9997618794441223,0.02114480547606945,0.9951851963996887,0.3434240520000458,1.0
6,RMSprop,tanh,0.05517461523413658,0.984682559967041,0.2664255201816559,0.9996031522750854,0.03534712269902229,0.9929629564285278,0.3768318295478821,1.0
