Epochs,Optimizer,Activation_Function,Train_Loss,Train_Accuracy,Train_Precision,Train_Recall,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall
6,Adadelta,relu,2.9231860637664795,0.14103174209594727,0.11559978872537613,0.5788888931274414,2.082664966583252,0.26592591404914856,0.17351646721363068,0.6129629611968994
8,Adadelta,relu,2.8276267051696777,0.15293650329113007,0.11989403516054153,0.599841296672821,1.9796383380889893,0.31333333253860474,0.1723444163799286,0.7138888835906982
9,RMSprop,relu,0.048462506383657455,0.9879364967346191,0.27946463227272034,0.9992856979370117,0.03710430487990379,0.9944444298744202,0.3536425530910492,0.9996296167373657
2,Adam,relu,0.2978854477405548,0.9121428728103638,0.23327083885669708,0.9973809719085693,0.1829383224248886,0.9314814805984497,0.2500927448272705,0.9988889098167419
10,Adadelta,relu,2.74778151512146,0.16801586747169495,0.12470293790102005,0.6246825456619263,1.954958200454712,0.347777783870697,0.15848489105701447,0.7616666555404663
1,Adam,relu,1.3797471523284912,0.5357142686843872,0.18786834180355072,0.8829365372657776,1.4381424188613892,0.49314814805984497,0.20848321914672852,0.9229629635810852
7,Adagrad,relu,1.4602093696594238,0.4913492202758789,0.1904025822877884,0.9091269969940186,0.8329369425773621,0.710185170173645,0.2532356381416321,0.9855555295944214
4,Adagrad,relu,1.9807887077331543,0.3439682424068451,0.16177988052368164,0.7961111068725586,1.3552320003509521,0.5111111402511597,0.22587046027183533,0.8853703737258911
5,RMSprop,relu,0.08453372865915298,0.9767460227012634,0.2600119709968567,0.9991269707679749,0.03533793240785599,0.9907407164573669,0.39289355278015137,0.9992592334747314
9,Adadelta,relu,2.781419038772583,0.1607142835855484,0.12297426164150238,0.6142857074737549,2.0110623836517334,0.2537037134170532,0.17300045490264893,0.6929629445075989
8,Adagrad,relu,1.3253358602523804,0.5346031785011292,0.19657446444034576,0.9318253993988037,0.7280080318450928,0.7314814925193787,0.2491472363471985,0.987407386302948
3,Adadelta,relu,3.032144069671631,0.12214285880327225,0.1097310483455658,0.551111102104187,2.192899465560913,0.1805555522441864,0.14695821702480316,0.6285185217857361
8,RMSprop,relu,0.05313660949468613,0.9868254065513611,0.2758665978908539,0.9992063641548157,0.004858845844864845,0.9994444251060486,0.3579714894294739,1.0
10,RMSprop,relu,0.036943286657333374,0.9910317659378052,0.283680260181427,0.9993650913238525,0.03379739448428154,0.9935185313224792,0.38405126333236694,0.9988889098167419
5,Adagrad,relu,1.8028407096862793,0.39420634508132935,0.17197245359420776,0.8403174877166748,1.220960259437561,0.5550000071525574,0.24445512890815735,0.9409258961677551
10,Adam,relu,0.04011544957756996,0.9894444346427917,0.25785455107688904,0.9998412728309631,0.11269820481538773,0.9588888883590698,0.28293272852897644,0.9983333349227905
10,Adagrad,relu,1.0724120140075684,0.6238889098167419,0.20630469918251038,0.9634920358657837,0.4812919497489929,0.9107407331466675,0.26083776354789734,0.9905555844306946
4,Adam,relu,0.1128908321261406,0.9691269993782043,0.24564415216445923,0.9992063641548157,0.106265589594841,0.9638888835906982,0.2740330994129181,0.9998148083686829
4,Adadelta,relu,2.968219757080078,0.13333334028720856,0.1136554628610611,0.5688095092773438,2.112718343734741,0.23333333432674408,0.16002747416496277,0.5609259009361267
8,Adam,relu,0.0668163076043129,0.9814285635948181,0.2555181384086609,0.9996031522750854,0.016398541629314423,0.9968518614768982,0.2993457615375519,0.9998148083686829
3,Adam,relu,0.1629001349210739,0.9542063474655151,0.239664226770401,0.9992856979370117,0.01772976852953434,0.9961110949516296,0.2621151804924011,0.9996296167373657
7,Adadelta,relu,2.8556501865386963,0.144841268658638,0.12025417387485504,0.5992857217788696,2.010053873062134,0.2979629635810852,0.1741478443145752,0.6509259343147278
